camera_id,timestamp,bbox,confidence
CAM_01,2026-06-03 14:57:39,"(879, 204, 966, 257)",0.6297417879104614
CAM_01,2026-06-03 14:57:39,"(880, 203, 966, 258)",0.5852118730545044
CAM_01,2026-06-03 14:57:39,"(880, 203, 966, 258)",0.5861901044845581
CAM_01,2026-06-03 14:57:40,"(880, 203, 966, 258)",0.5820776224136353
CAM_01,2026-06-03 14:57:40,"(880, 203, 966, 258)",0.5837210416793823
CAM_01,2026-06-03 14:57:40,"(880, 204, 966, 258)",0.7045448422431946
CAM_01,2026-06-03 14:57:40,"(880, 204, 966, 258)",0.6792281866073608
CAM_01,2026-06-03 14:57:41,"(880, 203, 966, 257)",0.6296607851982117
CAM_01,2026-06-03 14:57:41,"(880, 203, 966, 258)",0.6499381065368652
CAM_01,2026-06-03 14:57:41,"(880, 204, 966, 258)",0.6004197001457214
CAM_01,2026-06-03 14:57:41,"(879, 204, 966, 258)",0.7243359684944153
CAM_01,2026-06-03 14:57:41,"(879, 203, 966, 257)",0.7033833265304565
CAM_01,2026-06-03 14:57:42,"(880, 204, 966, 257)",0.7271509170532227
CAM_01,2026-06-03 14:57:42,"(880, 204, 967, 256)",0.7454267144203186
CAM_01,2026-06-03 14:57:42,"(880, 204, 967, 256)",0.764884352684021
CAM_01,2026-06-03 14:57:54,"(878, 204, 968, 258)",0.7420145869255066
CAM_01,2026-06-03 14:57:54,"(430, 32, 482, 84)",0.5212757587432861
CAM_01,2026-06-03 14:57:54,"(878, 203, 967, 256)",0.7747406959533691
CAM_01,2026-06-03 14:57:54,"(879, 204, 968, 257)",0.7706503868103027
CAM_01,2026-06-03 14:57:54,"(817, 70, 873, 122)",0.60491544008255
CAM_01,2026-06-03 14:57:54,"(879, 204, 966, 258)",0.791625440120697
CAM_01,2026-06-03 14:57:54,"(879, 204, 967, 258)",0.7918931245803833
CAM_01,2026-06-03 14:57:55,"(880, 203, 967, 257)",0.7855191826820374
CAM_01,2026-06-03 14:57:55,"(430, 32, 481, 84)",0.5003141164779663
CAM_01,2026-06-03 14:57:55,"(880, 203, 966, 258)",0.7875866889953613
CAM_01,2026-06-03 14:57:55,"(880, 203, 967, 257)",0.7761092185974121
CAM_01,2026-06-03 14:57:55,"(880, 204, 966, 258)",0.7805778384208679
CAM_01,2026-06-03 14:57:55,"(880, 204, 966, 258)",0.7896764278411865
CAM_01,2026-06-03 14:57:56,"(880, 204, 966, 258)",0.7798214554786682
CAM_01,2026-06-03 14:57:56,"(880, 203, 966, 258)",0.7782242298126221
CAM_01,2026-06-03 14:57:56,"(880, 203, 966, 258)",0.7564924359321594
CAM_01,2026-06-03 14:57:56,"(880, 203, 966, 258)",0.7549226880073547
CAM_01,2026-06-03 14:57:56,"(880, 203, 966, 258)",0.7525426745414734
CAM_01,2026-06-03 14:57:57,"(880, 203, 966, 258)",0.7489054799079895
CAM_01,2026-06-03 14:57:57,"(880, 204, 966, 257)",0.7667884826660156
CAM_01,2026-06-03 14:57:57,"(880, 204, 966, 257)",0.7643715739250183
CAM_01,2026-06-03 14:57:57,"(880, 204, 966, 257)",0.7542344331741333
CAM_01,2026-06-03 14:57:57,"(880, 204, 966, 257)",0.7410586476325989
CAM_01,2026-06-03 14:57:58,"(880, 204, 966, 257)",0.7294242978096008
CAM_01,2026-06-03 14:57:58,"(880, 204, 966, 257)",0.7392338514328003
CAM_01,2026-06-03 14:57:58,"(880, 204, 966, 257)",0.7298991680145264
CAM_01,2026-06-03 14:57:58,"(880, 204, 966, 257)",0.7376828789710999
CAM_01,2026-06-03 14:57:58,"(880, 204, 966, 257)",0.728801965713501
CAM_01,2026-06-03 14:57:59,"(880, 204, 966, 257)",0.717822790145874
CAM_01,2026-06-03 14:57:59,"(879, 204, 966, 257)",0.7460861802101135
CAM_01,2026-06-03 14:57:59,"(879, 204, 966, 257)",0.7482320666313171
CAM_01,2026-06-03 14:57:59,"(879, 204, 966, 257)",0.7308438420295715
CAM_01,2026-06-03 14:57:59,"(879, 204, 966, 257)",0.7359439134597778
CAM_01,2026-06-03 14:58:00,"(879, 204, 966, 257)",0.728401243686676
CAM_01,2026-06-03 14:58:00,"(879, 204, 966, 257)",0.7259928584098816
CAM_01,2026-06-03 14:58:00,"(879, 204, 966, 257)",0.7361590266227722
CAM_01,2026-06-03 14:58:00,"(879, 204, 966, 257)",0.7353333830833435
CAM_01,2026-06-03 14:58:00,"(879, 204, 966, 257)",0.7374235987663269
